_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
6869,SC,221,2019-09
6870,TO,738,2019-09
6871,ET,150,2019-10
6872,NY,228,2019-10
6873,SC,172,2019-10
6874,TO,576,2019-10
6875,ET,120,2019-11
6876,NY,198,2019-11
6877,SC,156,2019-11
6878,TO,433,2019-11
6879,ET,122,2019-12
6880,NY,187,2019-12
6881,SC,153,2019-12
6882,TO,393,2019-12
6883,ET,130,2020-01
6884,NY,168,2020-01
6885,SC,171,2020-01
6886,TO,426,2020-01
6887,ET,130,2020-02
6888,NY,184,2020-02
6889,SC,160,2020-02
6890,TO,434,2020-02
6891,ET,101,2020-03
6892,NY,122,2020-03
6893,SC,99,2020-03
6894,TO,294,2020-03
6895,TO,47,2020-04
6896,TO,123,2020-05
6897,NY,167,2020-06
6898,SC,222,2020-06
6899,TO,248,2020-06
6900,NY,718,2020-07
6901,SC,782,2020-07
6902,NY,776,2020-08
6903,SC,637,2020-08
6904,NY,864,2020-09
6905,SC,569,2020-09
6906,NY,536,2020-10
6907,SC,581,2020-10
6908,NY,366,2020-11
6909,SC,320,2020-11
6910,NY,168,2020-12
6911,SC,200,2020-12
6912,NY,286,2021-01
6913,SC,78,2021-01
6914,NY,427,2021-02
6915,SC,108,2021-02
6916,NY,631,2021-03
6917,SC,285,2021-03
6918,ET,1,2021-04
6919,NY,560,2021-04
6920,SC,191,2021-04
6921,NY,518,2021-05
6922,SC,187,2021-05
6923,NY,677,2021-06
6924,SC,215,2021-06
6925,TO,3,2021-06
6926,NY,997,2021-07
6927,SC,375,2021-07
6928,NY,372,2021-08
6929,SC,266,2021-08
6930,TO,922,2021-08
6931,TO,1773,2021-09
6932,TO,1413,2021-10
6933,TO,783,2021-11
6934,NY,1,2021-12
6935,TO,689,2021-12
6936,TO,472,2022-01
6937,TO,536,2022-02
6938,TO,1220,2022-03
6939,TO,1265,2022-04
6940,TO,1269,2022-05
6941,NY,455,2022-06
6942,TO,1658,2022-06
6943,NY,559,2022-07
6944,TO,1507,2022-07
6945,NY,647,2022-08
6946,TO,1656,2022-08
6947,NY,467,2022-09
6948,TO,1108,2022-09
6949,NY,304,2022-10
6950,TO,611,2022-10
6951,NY,329,2022-11
6952,TO,476,2022-11
6953,NY,128,2022-12
6954,TO,556,2022-12
6955,NY,149,2023-01
6956,TO,563,2023-01
6957,NY,156,2023-02
6958,TO,617,2023-02
6959,NY,215,2023-03
6960,TO,929,2023-03
